USPS SUFFIX ABBREVIATIONS	Primary Street Commonly Used Street Postal Service Standard
ALLEY	ALLEE
ALLEY	ALLEY
ALLEY	ALLY
ALLEY	ALY
ANNEX	ANEX
ANNEX	ANNEX
ANNEX	ANNX
ANNEX	ANX
ARCADE	ARC
ARCADE	ARCADE
AVENUE	AV
AVENUE	AVE
AVENUE	AVEN
AVENUE	AVENU
AVENUE	AVENUE
AVENUE	AVN
AVENUE	AVNUE
BAYOO	BAYOO
BAYOO	BAYOU
BEACH	BCH
BEACH	BEACH
BEND	BEND
BEND	BND
BLUFF	BLF
BLUFF	BLUF
BLUFF	BLUFF
BLUFFS	BLUFFS
BOTTOM	BOT
BOTTOM	BOTTM
BOTTOM	BOTTOM
BOTTOM	BTM
BOULEVARD	BLVD
BOULEVARD	BOUL
BOULEVARD	BOULEVARD
BOULEVARD	BOULV
BRANCH	BR
BRANCH	BRANCH
BRANCH	BRNCH
BRIDGE	BRDGE
BRIDGE	BRG
BRIDGE	BRIDGE
BROOK	BRK
BROOK	BROOK
BROOKS	BROOKS
BURG	BURG
BURGS	BURGS
BYPASS	BYP
BYPASS	BYPA
BYPASS	BYPAS
BYPASS	BYPASS
BYPASS	BYPS
CAMP	CAMP
CAMP	CMP
CAMP	CP
CANYON	CANYN
CANYON	CANYON
CANYON	CNYN
CANYON	CYN
CAPE	CAPE
CAPE	CPE
CAUSEWAY	CAUSEWAY
CAUSEWAY	CAUSWAY
CAUSEWAY	CSWY
CENTER	CEN
CENTER	CENT
CENTER	CENTER
CENTER	CENTR
CENTER	CENTRE
CENTER	CNTER
CENTER	CNTR
CENTER	CTR
CENTERS	CENTERS
CIRCLE	CIR
CIRCLE	CIRC
CIRCLE	CIRCL
CIRCLE	CIRCLE
CIRCLE	CRCL
CIRCLE	CRCLE
CIRCLES	CIRCLES
CLIFF	CLF
CLIFF	CLIFF
CLIFFS	CLFS
CLIFFS	CLIFFS
CLUB	CLB
CLUB	CLUB
COMMON	COMMON
CORNER	COR
CORNER	CORNER
CORNERS	CORNERS
CORNERS	CORS
COURSE	COURSE
COURSE	CRSE
COURT	COURT
COURT	CRT
COURT	CT
COURTS	COURTS
COURTS	CTS
COVE	COVE
COVE	CV
COVES	COVES
CREEK	CK
CREEK	CR
CREEK	CREEK
CREEK	CRK
CRESCENT	CRECENT
